songID,songTitle,SongArtistTitle,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5CM4UuQ9Gnd6K2YyKGPMoK,Bad Habit,['afrofuturism'],86,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,audio_features,5CM4UuQ9Gnd6K2YyKGPMoK,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/tracks/5CM4UuQ9Gnd6K2YyKGPMoK,https://api.spotify.com/v1/audio-analysis/5CM4UuQ9Gnd6K2YyKGPMoK,232115,4
7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",91,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,audio_features,7aRCf5cLOFN1U7kvtChY1G,spotify:track:7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/tracks/7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/audio-analysis/7aRCf5cLOFN1U7kvtChY1G,272113,4
0HqZX76SFLDz2aW8aiqi7G,Bones,"['modern rock', 'pop', 'rock']",87,0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,audio_features,0HqZX76SFLDz2aW8aiqi7G,spotify:track:0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/audio-analysis/0HqZX76SFLDz2aW8aiqi7G,165265,4
6maTPqynTmrkWIralgGaoP,If We Ever Broke Up,[],88,0.898,0.732,7,-3.982,1,0.0427,0.621,1.29e-05,0.0908,0.96,115.955,audio_features,6maTPqynTmrkWIralgGaoP,spotify:track:6maTPqynTmrkWIralgGaoP,https://api.spotify.com/v1/tracks/6maTPqynTmrkWIralgGaoP,https://api.spotify.com/v1/audio-analysis/6maTPqynTmrkWIralgGaoP,142759,4
0ZxhtATQ0a6EvQNZ0z6NKV,Princess Diana (with Nicki Minaj),"['bronx drill', 'hip pop', 'pop', 'queens hip hop', 'rap']",87,0.898,0.676,9,-5.196,1,0.187,0.14,0,0.101,0.742,147.991,audio_features,0ZxhtATQ0a6EvQNZ0z6NKV,spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/tracks/0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/audio-analysis/0ZxhtATQ0a6EvQNZ0z6NKV,172125,4
4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,"['melodic rap', 'philly rap', 'rage rap', 'rap']",90,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,audio_features,4FyesJzVpA39hbYvcseO2d,spotify:track:4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/tracks/4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/audio-analysis/4FyesJzVpA39hbYvcseO2d,123891,4
6pD0ufEQq0xdHSsRbg9LBK,un x100to,"['musica chihuahuense', 'nueva musica mexicana', 'reggaeton', 'trap latino', 'urbano latino']",100,0.569,0.724,6,-4.076,0,0.0474,0.228,0,0.27,0.562,83.118,audio_features,6pD0ufEQq0xdHSsRbg9LBK,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,https://api.spotify.com/v1/tracks/6pD0ufEQq0xdHSsRbg9LBK,https://api.spotify.com/v1/audio-analysis/6pD0ufEQq0xdHSsRbg9LBK,194563,4
59uQI0PADDKeE6UZDTJEe8,Last Night,['contemporary country'],90,0.517,0.675,6,-5.382,1,0.0357,0.459,0,0.151,0.518,203.853,audio_features,59uQI0PADDKeE6UZDTJEe8,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855,4
0QHEIqNKsMoOY5urbzN48u,Made You Look,"['hip pop', 'pop']",89,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,audio_features,0QHEIqNKsMoOY5urbzN48u,spotify:track:0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/tracks/0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/audio-analysis/0QHEIqNKsMoOY5urbzN48u,134256,4
2Zo1PcszsT9WQ0ANntJbID,Feather,['pop'],77,0.787,0.686,6,-4.37,0,0.0339,0.0893,0,0.0927,0.836,123.51,audio_features,2Zo1PcszsT9WQ0ANntJbID,spotify:track:2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/tracks/2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/audio-analysis/2Zo1PcszsT9WQ0ANntJbID,185553,4
